Id,String
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Character1Name,Player
Character2Name,Skeleton
Character3Name,Knight
Character1Desc,Character that you can controll
Character2Desc,Easy monster
Character3Desc,NPC that give quest to you
HP,HP
ATK,ATK
DEF,DEF
NAME,Name
DESC,Desc
TYPE,Type
VALUE,Value
COST,Cost
WEAPON,Weapon
EQUIP,Equip
CONSUMABLE,Consumable
