Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Character1Name,플레이어
Character2Name,스켈레톤
Character3Name,기사
Character1Desc,당신이 조종하는 캐릭터
Character2Desc,쉽게 잡을 수 있는 몬스터
Character3Desc,당신에게 퀘스트를 주는 NPC
Elf1Name,엘프 전사
Dwarf1Name,드워프 척후병
Dog1Name,도베르만
Dragon1Name,레드 드래곤
Elf1Desc,엘프족 근접 전사
Dwarf1Desc,빠른 다리로 적에게 접근하는 드워프 전사
Dog1Desc,동네 주민이 기르는 개. 그래도 화나면 무섭다.
Dragon1Desc,목에 화염을 두르고 있는 드래곤
HP,체력
ATK,공격력
DEF,방어력
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,코스트
NONE,없음
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
NONCONSUMABLE,소모품 제외
DATE_ASSCENDING,날짜(오름차순)
DATE_DESCENDING,날짜(내림차순)
NAME_ASSCENDING,이름(오름차순)
NAME_DESCENDING,이름(내림차순)
COST_ASSCENDING,코스트(오름차순)
COST_DESCENDING,코스트(내림차순)
VALUE_ASSCENDING,가치(오름차순)
VALUE_DESCENDING,가치(내림차순)
SAVE,저장
LOAD,불러오기
ITEM_CREATE,아이템 생성
ITEM_REMOVE,아이템 삭제
CHAR_CREATE,캐릭터 생성
CHAR_REMOVE,캐릭터 삭제
PLAYER,플레이어
ENEMY,적
NPC,NPC
EQUIPPING,장비 착용
NONEQUIPPING,장미 미착용
